"dept_no","dept_name","emp_no","last_name","first_name"
"d009","Customer Service",111877,"Spinelli","Xiaobin"
"d008","Research",111534,"Kambil","Hilary"
"d006","Quality Management",110765,"Hofmeyr","Rutger"
"d004","Production",110420,"Ghazalie","Oscar"
"d006","Quality Management",110725,"Onuegbe","Peternela"
"d005","Development",110567,"DasSarma","Leon"
"d001","Marketing",110022,"Markovitch","Margareta"
"d007","Sales",111035,"Kaelbling","Przemyslawa"
"d005","Development",110511,"Hagimont","DeForest"
"d009","Customer Service",111939,"Weedman","Yuchang"
"d003","Human Resources",110183,"Ossenbruggen","Shirish"
"d002","Finance",110114,"Legleitner","Isamu"
"d001","Marketing",110039,"Minakawa","Vishwani"
"d006","Quality Management",110854,"Pesch","Dung"
"d006","Quality Management",110800,"Quadeer","Sanjoy"
"d004","Production",110303,"Wegerle","Krassimir"
"d003","Human Resources",110228,"Sigstam","Karsten"
"d004","Production",110344,"Cools","Rosine"
"d008","Research",111400,"Staelin","Arie"
"d009","Customer Service",111692,"Butterworth","Tonny"
"d007","Sales",111133,"Zhang","Hauke"
"d002","Finance",110085,"Alpin","Ebru"
"d004","Production",110386,"Kieras","Shem"
"d009","Customer Service",111784,"Giarratana","Marjo"
