"first_name","last_name","sex"
"Hercules","Baer","M"
"Hercules","Biron","F"
"Hercules","Birge","F"
"Hercules","Berstel","F"
"Hercules","Bail","F"
"Hercules","Bernatsky","M"
"Hercules","Benantar","F"
"Hercules","Bodoff","M"
"Hercules","Basagni","M"
"Hercules","Bisiani","F"
"Hercules","Bernardinello","F"
"Hercules","Baranowski","M"
"Hercules","Bahr","M"
"Hercules","Benzmuller","M"
"Hercules","Biran","F"
"Hercules","Brendel","F"
"Hercules","Bain","F"
"Hercules","Baak","M"
"Hercules","Buchter","M"
"Hercules","Barreiro","M"
